,
StateDesc,2017
Alabama,44545
Alaska,51243
Arizona,41949
Arkansas,45655
California,49609
Colorado,51345
Connecticut,64045
Delaware,47714
District of Columbia,64542
Florida,45295
Georgia,45479
Hawaii,42381
Idaho,43272
Illinois,51926
Indiana,47761
Iowa,50003
Kansas,51468
Kentucky,44431
Louisiana,46468
Maine,44566
Maryland,52591
Massachusetts,59333
Michigan,47238
Minnesota,53151
Mississippi,40445
Missouri,48433
Montana,45742
Nebraska,53522
Nevada,46100
New Hampshire,51977
New Jersey,54140
New Mexico,40548
New York,53592
North Carolina,45703
North Dakota,55221
Ohio,49737
Oklahoma,46671
Oregon,45618
Pennsylvania,51608
Rhode Island,50045
South Carolina,43946
South Dakota,53089
Tennessee,47459
Texas,46954
Utah,43478
Vermont,47747
Virginia,51376
Washington,51973
West Virginia,41967
Wisconsin,50540
Wyoming,56541